Actual,Predicted
406,386.84387
679,723.6664
750,766.01514
515,496.3658
589,530.47687
708,713.6718
524,522.8989
566,577.80927
828,831.61237
515,494.58148
534,542.5296
552,556.81866
544,578.6263
815,751.4588
645,676.17694
552,571.43427
505,524.4955
741,743.87
573,608.01605
828,825.18774
496,513.4383
771,762.82715
660,612.8843
558,549.7458
627,622.27313
451,489.85254
656,659.56195
805,786.1422
677,689.8892
554,516.28955
441,487.44147
793,789.27673
517,527.4204
635,635.805
645,594.29694
639,656.6934
475,511.4239
517,531.0651
743,731.3227
426,441.20184
648,655.20996
820,812.29065
401,406.69373
515,569.16223
817,810.0104
630,582.7443
565,595.10767
538,547.425
780,763.7337
586,612.9839
467,467.47943
606,588.1525
505,522.1316
618,632.3214
751,734.46387
519,523.65173
499,494.9066
633,619.2349
813,815.00995
687,692.10455
664,662.29
829,820.84753
511,541.84265
587,583.46356
456,471.04614
561,581.97784
437,460.7047
605,599.25146
583,539.5696
363,393.34946
517,504.18594
553,596.2835
543,527.2072
608,632.0931
817,807.2074
517,530.8945
589,574.06305
551,535.57135
781,779.5865
616,623.7862
517,526.1535
330,349.90125
636,621.73303
433,441.4858
817,811.2129
600,602.6941
799,791.77704
655,742.6209
646,677.2586
433,465.52744
773,779.5543
512,530.1489
780,765.34015
464,463.74356
736,700.44147
707,702.9212
505,521.837
453,462.14624
750,762.6984
507,514.1599
575,586.92114
624,613.01715
463,500.25488
506,500.79715
821,822.13544
407,405.76764
817,815.3474
489,478.54565
797,790.7189
452,465.47742
552,595.6178
824,770.8575
594,561.50977
628,568.58624
793,816.8243
629,661.03046
649,626.6857
553,573.8858
468,445.92007
828,833.8888
552,559.283
472,481.8485
753,719.83276
527,557.3634
719,712.4194
729,737.0285
837,805.7156
498,593.83344
806,794.6292
753,700.8187
829,816.1096
597,588.48395
610,631.22656
820,817.57605
533,475.74008
643,549.1157
571,587.33594
674,686.82526
531,561.14105
660,676.63336
798,795.4751
684,682.03564
630,619.04083
791,805.37354
827,823.8624
664,701.0082
796,783.33997
596,612.6206
624,585.79285
491,489.51523
766,747.11584
538,573.1756
492,473.3389
725,765.53876
659,670.9072
624,639.72034
498,506.04218
508,524.7232
467,510.86273
694,663.6289
772,752.0433
741,742.7557
509,544.44977
579,603.8304
660,661.87463
825,828.4232
692,638.9516
593,569.8765
658,655.56256
519,531.8144
723,771.7455
639,671.2394
822,793.6887
418,431.7692
569,584.7355
517,527.94226
512,526.31384
719,696.3781
388,403.44232
454,473.32095
568,549.57245
494,504.87076
537,562.5914
661,696.54816
511,495.28186
777,768.4665
465,481.65598
814,804.2983
541,556.1272
820,799.40894
794,785.5203
726,732.8753
675,661.1261
662,659.67755
515,540.3148
793,777.77515
500,484.0248
404,409.99622
549,538.82935
542,532.81683
578,589.8656
705,691.532
552,553.17346
552,535.3522
726,710.08606
563,553.24603
789,783.5711
479,527.4371
490,511.5687
672,698.5933
541,563.28235
398,454.88705
497,479.2758
693,666.8014
524,531.6709
752,709.2879
524,534.66394
532,517.19385
686,688.25006
563,550.4923
822,822.8372
825,816.2906
821,813.46643
792,796.519
494,499.36737
672,671.5645
747,768.29987
554,578.27423
679,676.0355
683,723.1871
553,545.7305
513,505.41507
522,559.4498
521,524.69196
628,613.967
639,651.108
709,744.7941
810,806.0159
524,540.4705
509,509.99942
671,653.4204
458,479.8459
613,594.6845
744,742.8085
478,492.85147
639,628.40906
820,791.9508
689,696.79205
799,799.35114
784,732.18506
434,449.55725
787,811.1722
537,507.62906
433,467.12708
730,742.08875
512,520.3984
836,834.65186
802,796.8207
805,824.8824
549,560.3523
695,682.4608
803,810.218
814,793.3442
524,535.8657
482,501.39575
622,621.8747
464,488.66562
790,806.1556
632,610.87256
597,646.7507
607,594.21875
700,725.7954
816,817.3934
666,661.46387
613,613.8311
827,831.1801
463,465.51895
822,810.4168
524,534.50653
529,557.05115
503,548.5715
797,809.4539
647,616.3048
524,535.32355
808,786.6353
703,672.8767
432,453.15405
829,842.3345
606,580.2434
483,478.4816
628,614.9056
411,490.25836
684,641.63837
492,510.06012
524,491.77652
705,758.69086
612,550.759
395,435.72165
526,472.5162
679,705.4474
614,613.1746
791,812.3269
502,516.4189
478,510.39825
464,546.43677
555,530.45233
625,580.68317
771,781.1208
442,428.51785
724,691.02295
552,540.74866
524,540.2765
481,453.1951
524,530.51855
512,531.4228
533,529.2239
461,531.9679
472,488.26712
787,789.7764
548,588.13947
640,647.67413
603,586.642
550,563.7095
702,684.1711
825,802.9923
626,623.62976
462,425.73505
771,776.6137
725,731.2723
561,558.4501
559,506.9338
731,729.23065
678,713.4357
648,630.6393
518,470.7735
548,530.72546
506,541.8127
790,788.9244
545,508.6034
503,504.4261
616,666.1333
583,607.532
447,462.60898
787,786.66675
462,481.43475
497,510.03754
530,559.92365
477,462.83084
693,713.5007
434,422.9348
802,776.8213
635,648.28674
534,588.72595
760,736.81036
479,521.7612
819,810.18524
803,778.06903
584,574.75073
740,699.8813
532,560.95233
423,427.46994
581,571.7297
721,683.3511
558,575.7301
514,543.1162
525,602.0728
466,473.68994
502,483.4665
800,816.31305
557,590.13
787,772.1132
629,656.31934
573,546.7387
639,633.2413
419,443.71008
570,505.45178
561,548.656
534,544.9988
531,536.6784
556,520.3712
636,687.7412
660,670.4559
705,723.62054
747,752.0946
796,793.32086
656,612.93634
521,535.7463
537,557.0886
660,667.17175
602,616.09357
528,519.01843
814,816.2629
523,532.68054
802,780.51855
559,537.7521
818,795.55756
524,522.78394
520,601.3789
495,497.67282
577,543.11145
522,527.7744
501,504.3959
635,688.177
722,709.5881
515,484.73743
486,463.2936
729,719.6802
633,678.81824
822,814.6027
528,539.4602
797,808.0719
801,793.0766
526,546.68555
626,611.8685
528,522.9075
609,619.5314
517,583.6762
656,632.5022
506,489.65234
555,563.9344
644,665.34937
578,534.65784
722,745.38666
690,707.43445
735,753.2345
634,629.7487
679,631.5173
781,777.7531
537,602.3304
524,535.2416
762,744.36035
557,545.19214
721,720.9581
538,518.9235
479,499.5758
587,612.72046
559,583.02295
571,565.017
468,491.35736
825,821.88824
693,697.4131
593,585.8377
618,637.3136
803,799.98956
352,385.89914
809,826.34753
610,611.2566
459,484.2321
708,677.42554
439,527.1509
630,597.02313
596,599.60333
579,590.4738
431,465.1065
796,799.8152
764,727.9418
496,504.72867
730,726.7993
821,825.5941
548,526.08234
770,775.9923
699,722.223
727,730.6466
665,706.41724
531,548.50104
667,620.8439
508,529.2874
632,629.87024
643,647.302
573,572.79785
557,619.62317
641,604.58484
504,500.50507
800,806.21643
498,491.19516
513,535.39026
616,620.2828
506,507.4654
782,747.6659
669,638.0308
626,604.4896
527,593.4803
764,747.04346
763,730.13654
749,773.6788
448,444.37994
641,639.7926
524,536.4109
643,633.3231
562,570.203
705,672.54156
510,526.4775
578,554.87006
540,538.43536
735,693.763
564,537.1154
456,495.90952
492,484.79443
429,426.08395
734,707.2047
527,573.8739
833,834.6772
509,521.74493
469,481.33643
481,501.5493
658,627.20807
694,697.38745
559,558.6322
717,726.1278
696,679.25836
542,566.1939
607,595.72766
824,812.5902
666,645.7988
681,683.73724
505,534.0594
561,547.57837
604,609.0229
552,551.957
517,518.51086
381,426.1422
810,789.5528
597,651.2922
725,687.1711
701,714.4687
810,813.1113
416,405.24307
489,492.08957
449,469.52356
479,502.08777
819,808.9733
691,703.24524
757,709.08044
664,681.9147
614,641.96027
820,820.1306
486,479.9686
818,820.97766
827,822.33246
818,810.2668
600,648.02716
462,481.06555
526,501.4186
538,531.461
608,581.7349
608,657.9012
384,451.23737
592,600.12885
832,822.67377
547,528.6878
508,525.0703
636,647.05084
607,651.97156
571,574.2398
778,772.17584
757,763.2437
524,536.10626
551,573.33984
701,716.6351
552,563.75037
743,712.1814
734,693.1902
803,812.22217
508,531.02014
799,803.7086
532,522.00525
497,508.19296
794,813.0775
709,684.7508
631,648.83203
601,595.4176
601,585.02924
550,577.2714
470,515.9078
583,603.3115
832,830.7204
362,454.49097
721,712.7479
679,678.8867
580,598.26013
769,773.80835
639,681.75165
485,525.44366
507,523.5344
505,521.8102
548,564.3258
577,596.2325
756,726.26514
535,548.23444
487,488.38934
720,744.7144
523,521.08307
688,704.3651
579,585.7377
593,564.8903
624,600.20416
632,646.1697
706,721.78204
569,640.1777
784,790.4133
453,452.18106
492,510.04495
808,784.662
465,514.4482
791,810.5585
460,488.12888
609,576.51996
588,574.35846
734,760.6339
529,517.2443
787,762.9167
493,509.79398
718,697.8643
552,569.2597
620,657.6042
622,641.81885
660,646.47473
517,531.1741
494,482.51285
600,559.8513
408,446.8982
621,611.119
461,481.92712
770,713.2658
445,514.21857
820,783.2493
746,727.5595
575,574.50366
709,622.7553
797,793.54767
696,795.41046
502,511.26163
577,559.1216
835,830.14825
752,734.93915
529,526.0375
565,552.2516
730,726.94855
588,575.0173
702,670.43146
568,537.3303
518,490.0124
479,488.67453
625,613.8826
715,738.0321
482,521.19904
731,705.3451
572,615.79193
543,555.308
585,564.6295
618,673.06305
776,765.39905
566,557.3942
690,695.15234
604,586.4656
614,605.47473
504,518.36505
484,493.4244
687,674.0741
816,808.24615
506,516.0714
486,493.77655
625,633.18616
505,519.2583
722,705.4332
758,760.64215
605,621.267
639,698.13214
632,614.7403
757,773.1614
549,564.397
689,724.4597
454,480.1524
476,476.06793
657,665.16254
626,602.8152
716,685.94806
501,534.36304
804,794.42896
713,641.0363
832,824.87976
480,472.21234
798,809.2657
549,521.07587
821,820.9343
568,574.29895
524,524.9428
573,579.104
457,497.30392
813,810.0438
829,829.58435
676,666.2999
386,433.22803
631,645.8114
549,570.81274
515,538.19116
649,652.6927
527,521.0783
525,542.5307
741,759.79095
472,496.14822
832,841.33984
825,835.3792
564,595.4383
780,781.1583
530,550.1976
682,661.46954
530,551.74023
585,582.03015
636,635.08075
556,532.0577
593,595.2781
688,678.9604
508,519.8783
502,470.97742
489,495.1154
600,662.524
615,589.24854
749,763.49695
487,505.8603
627,611.16125
821,822.72156
494,496.4004
627,640.3049
585,535.8322
517,529.52844
697,653.32587
712,723.9903
706,679.6477
701,723.92017
517,524.3899
424,464.59857
792,779.94354
594,587.0227
482,503.78436
553,507.82812
513,511.5228
833,830.85803
787,767.4016
639,649.21704
672,641.3118
499,504.87122
513,511.70145
803,764.76605
551,535.0772
548,562.3524
621,630.7356
664,682.26917
431,455.87894
651,636.04474
835,824.566
510,541.9717
805,769.3284
794,787.03125
783,798.1447
709,721.78516
659,682.9175
627,637.91125
551,572.5522
754,749.47766
702,688.6163
746,734.3478
376,468.74408
623,595.48
565,585.3665
509,520.80255
828,831.6875
552,557.10406
631,618.06415
485,474.02826
517,525.6753
551,574.8769
507,522.238
799,806.90674
415,479.98862
767,768.10583
444,482.3138
490,502.2884
611,587.98834
501,506.46576
504,537.4967
516,530.7765
679,715.3062
645,666.01654
673,641.6018
537,513.2683
540,592.79004
618,590.276
643,635.9639
814,801.6496
590,608.5771
519,488.1347
713,739.33655
479,483.0036
675,658.27545
540,573.9055
781,821.1731
796,795.52826
730,741.0435
508,528.10815
837,836.8701
552,580.55273
732,801.99414
504,509.4266
466,515.9293
662,674.10486
490,510.66162
616,654.3838
634,663.88574
618,574.90564
569,577.822
687,671.41675
512,504.1142
680,680.90424
785,784.8877
794,821.99286
550,545.74554
537,546.4838
632,631.70154
725,732.7234
530,521.8321
541,616.65845
485,525.4312
591,581.1603
591,588.984
